sender,receiver,value
SEVERINO,GILSON,21211
PAULA,ROSA,13981
ROSANA,BRUNA,99510
PAULO,DAVID,36831
ROSANA,EMERSON,41588
JEAN,ALEX,37202
ELIAS,JULIO,24486
TATIANE,RAQUEL,84868
SILVIA,GERALDO,62047
MARCIA,SILVANA,29259
FABRICIO,ALEX,93452
SARA,MAURICIO,22900
MARIA,ROSA,46537
RITA,MAURO,12340
MARCIO,CRISTIANO,19377
FABIO,WESLEY,71697
VERA,VINICIUS,41177
FRANCISCA,LARISSA,91592
THIAGO,FABRICIO,6790
MARCELO,FABIANO,57198
MAURO,OSVALDO,42876
RAQUEL,BEATRIZ,43755
TEREZINHA,CRISTINA,59212
SEBASTIAO,ANDREA,64289
JULIANA,VIVIANE,79494
TEREZA,JULIANA,43292
FABIANO,GILBERTO,84868
ROSANGELA,ROSA,83957
JOAO,LUCIANA,88869
DENISE,MARIO,67163
RENAN,MARINA,85667
ALEXANDRE,ELAINE,43650
MARTA,ROBERTO,49780
MAURO,ALEXANDRE,13371
LUZIA,LEONARDO,54186
PAULA,JONAS,87905
DIOGO,VIVIANE,1156
JOAQUIM,ALICE,54736
JEAN,ANDERSON,78432
JEAN,FABRICIO,87413
NATALIA,WILLIAN,73696
VINICIUS,DANIEL,85527
CRISTIANO,MAURO,28101
JAQUELINE,EDUARDO,39465
PRISCILA,ANDREIA,37477
RENATA,ROBERTO,44605
ANA,MARCIA,37957
LEONARDO,GILBERTO,63064
MAURICIO,JOANA,83914
RENATA,LUANA,21844
NATALIA,ANTONIO,51550
GUSTAVO,RONALDO,85823
CARLA,MARIANA,64967
RAIMUNDA,ANDRE,36457
FLAVIA,JONAS,3250
APARECIDA,LUCIANA,37170
CARLA,GABRIEL,51923
LUCAS,DAIANE,35115
CLAUDIO,SOLANGE,10152
LUIZA,MARINA,42944
RENAN,MARLENE,87479
ADRIANA,LUZIA,46185
RODRIGO,FERNANDO,29406
CLAUDIA,MARLENE,77556
SONIA,DANILO,62718
HELENA,MAURO,93952
LUCIA,LAURA,38776
MARLENE,MARCOS,74821
CAMILA,ANDRE,50522
FERNANDA,ELAINE,56497
DEBORA,ALESSANDRO,55194
VERA,MICHELE,16443
CRISTIANE,RONALDO,58437
EDSON,ALINE,75059
FABRICIO,MAURO,51084
THIAGO,GABRIELA,41168
ADILSON,REGINA,77051
CRISTIANE,RAQUEL,58364
JESSICA,ROSANGELA,87219
LUANA,JEFERSON,27097
DANILO,HENRIQUE,80193
NELSON,DAVI,3042
DAVID,EDUARDO,65245
MARCELO,MARCIO,67506
MAURICIO,DAVID,62657
LUANA,PRISCILA,64268
VALERIA,ALAN,12901
SOLANGE,VALERIA,70552
SILVANA,ROSA,24725
SONIA,MATHEUS,33513
ALINE,LUZIA,92487
MAURO,EMERSON,46690
ROBERTO,SAMUEL,34699
IGOR,ALESSANDRA,18812
THIAGO,BRUNA,80011
MIGUEL,ANTONIO,86751
VITOR,MARIO,48724
WESLEY,AMANDA,84933
ELAINE,SILVANA,56854
JORGE,SILVIA,91621
MARIA,JOSEFA,45418
MAURICIO,GUILHERME,81143
ERICA,CAROLINE,1235
MONICA,JEAN,85253
FABRICIO,MARCIO,31880
MIGUEL,DAVID,68203
VITOR,ELAINE,27662
VALERIA,LUIZ,3562
ADILSON,MARIO,89321
ROSA,ALEXANDRE,39840
CAROLINE,CAMILA,77403
SARA,SEBASTIAO,4502
LAURA,MARIANA,70161
VITOR,MARIO,70177
SONIA,EDUARDO,28841
MIGUEL,ROBERTO,340
NELSON,TANIA,3253
ELAINE,ELIANA,78636
RAIMUNDA,BENEDITO,3304
ANGELA,MARIANA,38339
SONIA,SABRINA,30634
DANIEL,RAIMUNDO,33080
VIVIANE,HELENA,82876
ADRIANA,JEAN,29799
DANIEL,ANDRESSA,49458
SABRINA,GILBERTO,1664
JULIO,GILMAR,27861
CICERO,GERALDO,15851
REGINALDO,MARCELO,80122
ALEX,REGINALDO,50089
THIAGO,RAFAELA,75897
LUCIANA,ANDRE,15515
MONICA,PRISCILA,35274
TAIS,RODRIGO,63583
JAIR,THIAGO,84461
LUCAS,LAURA,13674
VALERIA,MARCIA,74913
MARIANA,FABRICIO,23156
VIVIANE,REGINA,21285
MANOEL,TEREZINHA,30868
EDSON,ANTONIA,8885
EDSON,TANIA,19078
APARECIDA,FABIO,8606
ELIANE,JESSICA,52203
SARA,MONICA,87039
ANGELA,PAULA,79584
CAIO,JULIANA,60246
MARLENE,ANTONIO,23442
PAULO,RENATA,54356
OSVALDO,MAURICIO,91366
DEBORA,LUCIANA,68337
DIOGO,JEFERSON,15182
FRANCISCO,FABRICIO,80207
BEATRIZ,JOAO,30637
EMERSON,MATHEUS,86754
LUCIANA,ELIANA,33451
VANESSA,RAFAEL,61723
VICTOR,JOSEFA,50148
ELIANA,FLAVIO,51643
JEAN,DEBORA,55911
RENAN,JULIANA,9184
JANAINA,LUIS,69902
GERALDO,JOSEFA,91902
JULIA,CRISTIANO,70298
MARCOS,FABRICIO,16581
ANDREA,LUZIA,96190
JOSEFA,VICTOR,99565
ROSANGELA,ADRIANA,67966
CICERO,ALAN,85570
LUCIANA,DIEGO,4998
DEBORA,ELAINE,91067
LETICIA,APARECIDA,31506
GUSTAVO,WESLEY,27637
GILMAR,BRUNA,95553
SARA,LUIS,56520
VITOR,LEONARDO,14892
LUAN,PAULO,3366
MARIO,EDUARDO,61475
CRISTINA,REGINALDO,3927
DENISE,SONIA,20526
MARCIA,NATALIA,43300
CRISTIANO,MATEUS,20222
ANDRE,SOLANGE,65982
JOAQUIM,ANTONIO,95847
ALICE,SUELI,43655
MARCOS,ANDREA,65002
SUELI,FELIPE,71688
ANGELA,ALINE,39846
RAIMUNDA,VERA,70734
TAIS,RENATO,49488
FRANCISCO,JANAINA,95563
VICTOR,FRANCISCO,67764
WILLIAN,ANDREIA,80073
GILSON,IGOR,17733
ELIANE,DANIELA,52230
CARLOS,DANILO,35671
LUAN,ANGELA,57854
ELIANE,VALERIA,91889
ELAINE,BRUNO,99394
VITORIA,ADRIANO,26844
REGINALDO,SIMONE,49959
CAROLINE,VALERIA,84828
HENRIQUE,SEVERINO,38956
LUCIANA,TANIA,43326
DANIEL,SERGIO,28134
JEFERSON,LUCIA,43895
VITOR,DOUGLAS,81004
SILVIA,ANDRESSA,10768
JOSEFA,DAIANE,44873
PRISCILA,HENRIQUE,59328
BIANCA,PATRICIA,79929
LARISSA,MARCIA,88869
PEDRO,LETICIA,43513
RENATO,PATRICIA,76060
HELENA,JANAINA,85183
EDNA,THAIS,46518
VALERIA,ELAINE,34998
EDNA,SILVANA,65132
GABRIELA,RENAN,70838
AMANDA,BARBARA,35423
SABRINA,VIVIANE,45320
HENRIQUE,ANDERSON,60702
ROSANGELA,PAULA,87776
ELIANE,VITORIA,98833
CICERO,LUZIA,79352
PAULO,GABRIELA,49252
RONALDO,JEAN,64125
CARLOS,RENATO,11077
FRANCISCO,DIEGO,98907
MATEUS,ALESSANDRO,24258
MIGUEL,REGINA,80716
ANDREA,FLAVIA,54274
RAFAELA,LETICIA,29949
TEREZA,VICTOR,31649
JAIR,LEANDRO,51160
RAFAEL,ISABEL,53864
FRANCISCO,ALINE,45744
EDSON,ROSANGELA,90975
ELIANE,LUCIANO,60753
FABRICIO,GABRIEL,74088
SERGIO,ISABEL,79415
JOSEFA,MARCIO,95264
LUCIA,SARA,26438
DIEGO,CLAUDIO,79899
AMANDA,DANIELE,87128
LUAN,LUIZ,92297
LUAN,JEFERSON,25185
HENRIQUE,PRISCILA,32039
RAIMUNDA,OSVALDO,34816
DANIELE,BEATRIZ,40878
DANIELE,MARCO,12022
JONAS,SILVANA,14450
RAFAELA,TANIA,34501
PAULA,ROSANGELA,16654
ADILSON,DENISE,95299
MARCOS,SEVERINO,97793
EDNA,JOSE,83620
MARCIA,MARTA,67324
MARCOS,LUCIANA,35555
ANA,RENAN,92200
OSVALDO,FLAVIO,86981
SIMONE,HELENA,99548
MANUEL,CLAUDIA,23611
JULIO,ADRIANA,43793
FABIANA,JOAQUIM,37120
SILVANA,MATEUS,62058
LUAN,ALESSANDRA,47368
ANDERSON,PAULO,92274
LETICIA,JOAQUIM,14230
PRISCILA,TEREZINHA,10736
ROSA,FABRICIO,59262
CELIA,SIMONE,42258
ANDERSON,ANTONIO,66431
OSVALDO,DENISE,2301
MICHELE,ANDRESSA,85545
ROSANA,FATIMA,91401
DIOGO,RAIMUNDO,62302
WILLIAN,JULIO,2565
LUCIA,TEREZINHA,15198
FELIPE,JORGE,82561
FLAVIO,MAURO,86184
CRISTINA,FABIANO,77403
AMANDA,ROSANGELA,8684
JONAS,EVERTON,61172
SONIA,PAULO,65478
LUANA,LAURA,67193
MARCO,ALEX,80068
ROBSON,MARIO,40293
JULIANA,CRISTINA,79357
AMANDA,ROSANA,82259
LUCAS,LUCIANA,73282
ELIANE,VIVIANE,66028
GABRIELA,FERNANDA,9651
VITORIA,CLAUDIO,45137
VANESSA,AMANDA,73291
LUCAS,LUIZA,23491
TEREZA,JAIR,79743
PAULA,VIVIANE,32532
SILVANA,LEANDRO,53600
EDNA,TAIS,2876
LUCIA,ISABEL,15474
RAQUEL,DEBORA,64324
JAIR,GUSTAVO,45728
GABRIELA,DANIELE,65140
FATIMA,JONAS,86022
SARA,JESSICA,19566
VIVIANE,CAROLINE,74205
OSVALDO,ELIAS,62891
ROGERIO,HELENA,25445
ISABEL,ROSA,55277
VICTOR,ANDREIA,59325
APARECIDA,SARA,95344
EVERTON,SAMUEL,84966
WILSON,THAIS,58781
SEBASTIAO,SOLANGE,12375
MARINA,MARLI,61673
VIVIANE,DAVI,4993
ALESSANDRO,NELSON,91038
ADILSON,APARECIDA,96467
SOLANGE,SILVIA,1711
LUIZA,RITA,17310
ALAN,NATALIA,89841
RODRIGO,ANTONIA,50790
PATRICIA,CRISTIANO,32863
ALEX,MARLENE,71213
CICERO,LUIZA,44069
EVERTON,FABIANA,71061
ANA,MARCIO,72903
VANESSA,VALDIR,45329
CAROLINE,DAVI,68279
MARLENE,MONICA,63789
SILVIA,PRISCILA,53620
SEVERINO,LUZIA,65048
MAURICIO,JEFERSON,47629
JEFERSON,VALERIA,99213
CAIO,ANDERSON,62025
WILLIAN,DANIEL,86572
ISABELA,LUCAS,8171
TIAGO,SAMUEL,47015
DANIELA,MICHELE,60690
LARISSA,JAIR,32809
RENATA,SARA,81883
PRISCILA,JESSICA,86918
SEVERINO,ADRIANA,73904
ELAINE,EVERTON,74649
LUCIANO,TATIANE,14368
VITOR,FRANCISCA,67590
MAURICIO,BARBARA,55747
JOAQUIM,RENATO,36584
ISABELA,MARIO,38844
FRANCISCO,FABIANA,23724
TEREZINHA,JOSE,53734
THIAGO,LAURA,57105
RENATA,HENRIQUE,74101
IGOR,PAULA,78891
BARBARA,VALDIR,91655
MANUEL,MANOEL,65801
FABIO,FLAVIO,63244
BRUNA,FABIO,86515
FABIANA,REGINA,42788
JAQUELINE,ANDREA,31352
WILLIAN,SARA,99682
MONICA,MARIO,2901
OSVALDO,FELIPE,93169
MANOEL,ELIAS,64211
DAVID,ALESSANDRO,89352
PRISCILA,CICERO,54400
ANDRE,BENEDITO,25601
LUIZ,PRISCILA,40758
WILSON,FRANCISCO,15704
LUIZA,ROSANGELA,97362
FERNANDA,CRISTIANO,16163
MARIO,VANESSA,93096
TIAGO,MARIA,7937
RAFAEL,ANDREA,28546
FLAVIO,MARCOS,97128
REGINA,FABRICIO,53290
TEREZINHA,ANGELA,30223
SAMUEL,ALESSANDRA,3277
BENEDITO,WILLIAN,6858
CRISTIANO,LARISSA,95229
GABRIELA,JORGE,12538
GILBERTO,JOSE,27175
DANIELA,CAROLINA,11064
SEVERINO,VITORIA,21276
WILSON,BRUNO,79339
DENISE,CAROLINA,21792
LEONARDO,ROSA,58251
LUAN,SIMONE,58365
VANESSA,BRUNO,97898
MAURO,OSVALDO,87649
DAVID,MARIO,65176
SONIA,JAQUELINE,72120
DANILO,LEANDRO,43594
DANIELA,LUCIA,83356
APARECIDA,PAULO,42112
JORGE,JOAO,52490
REGINA,FLAVIO,27852
DOUGLAS,VICTOR,27565
LUIZA,ADILSON,55571
VALERIA,TANIA,35605
LUCIANA,VIVIANE,37060
JOANA,SARA,37810
ROBERTO,DANIEL,17289
ANTONIO,FLAVIA,74407
VERA,BEATRIZ,15423
SOLANGE,IGOR,17813
MARCO,JOSEFA,92594
BENEDITO,ANDREIA,2885
FRANCISCO,JESSICA,53499
RODRIGO,RAQUEL,59295
LEONARDO,FERNANDA,50354
BEATRIZ,ROSA,83545
EDNA,MARCELO,33753
THIAGO,JULIANA,1378
LARISSA,RAQUEL,9192
ELIANA,MARIANA,54021
PEDRO,CRISTIANO,60225
JONAS,DAVI,82411
ALESSANDRO,DANILO,18240
ROSANA,LUANA,63774
AMANDA,VERA,48307
JORGE,MARCIA,71121
JORGE,RONALDO,21166
ELIAS,LUCIANA,80312
BARBARA,CAMILA,81269
ANDRE,ISABELA,42464
GABRIELA,JONAS,7538
LUCIANO,EDSON,93076
JEFERSON,ANA,56239
TEREZA,SEBASTIAO,4309
CARLA,FABRICIO,64360
MAURO,WILSON,25057
BARBARA,RONALDO,86566
FERNANDO,CAROLINE,70617
MAURO,FRANCISCA,35603
JOSEFA,MARLENE,61586
MIGUEL,OSVALDO,56999
FLAVIO,FLAVIA,28486
RAIMUNDA,DIOGO,40318
CAMILA,VICTOR,83329
TEREZINHA,FERNANDO,5402
CARLA,ROSANA,40679
BARBARA,ROSA,77252
LEONARDO,MANUEL,65532
SIMONE,MARCO,37072
ANDREIA,THAIS,82653
SABRINA,EMERSON,9671
NATALIA,GILMAR,13059
CLAUDIA,ANTONIA,96862
BARBARA,FATIMA,59863
FABRICIO,VICTOR,54762
LEANDRO,ROBSON,11122
JAQUELINE,HENRIQUE,81015
RAFAEL,FABIANA,43109
DANIELE,ELIANE,63316
ANDRESSA,DIEGO,96602
SERGIO,RENATA,68359
ADILSON,ADRIANA,51833
RAFAELA,VINICIUS,66455
ADRIANA,ALESSANDRO,62310
MARTA,MARIA,64174
MARTA,MARCO,56123
MAURO,DAIANE,88695
MARCELO,JOAQUIM,26028
SARA,DOUGLAS,64407
FRANCISCA,ISABELA,84929
SABRINA,SAMUEL,86253
ANDREA,RAIMUNDO,44650
JOANA,CARLA,11157
MARCO,ELIANE,68317
ANTONIO,ROSANGELA,17834
SARA,CAMILA,89451
JAQUELINE,VIVIANE,16616
RODRIGO,MONICA,9142
CLAUDIO,MIGUEL,55942
RONALDO,SARA,17490
WILSON,WESLEY,53039
EMERSON,LUAN,41172
MARTA,ROBERTO,3178
GABRIEL,DAIANE,30513
CICERO,DANIEL,71303
PEDRO,ANTONIO,34590
TEREZA,JEAN,19770
MARCELO,LUIZA,51136
TAIS,CAROLINE,53081
JORGE,LUIZ,15468
FRANCISCO,ANA,71601
ALESSANDRO,GABRIEL,77047
ALAN,EMERSON,84680
REGINALDO,MARCO,27434
PATRICIA,FELIPE,27561
SEVERINO,CARLOS,837
WILSON,ANA,63389
JOAO,MONICA,85705
LUIZA,MARCELO,97112
EDNA,LUIZA,63943
ADRIANA,RENAN,62436
LETICIA,RAFAELA,77954
DIEGO,ANDREA,74128
RENAN,EDUARDO,42847
LUCAS,RENATO,96919
DENISE,ALEXANDRE,60630
JANAINA,MICHELE,91521
GILBERTO,MATHEUS,5262
OSVALDO,JAIR,41666
ISABEL,NELSON,43926
LUAN,MARIO,60178
LAURA,RENATA,32675
LUAN,ADILSON,21716
DANIELE,GILSON,98789
CLAUDIA,VITOR,28534
ANTONIO,CLAUDIO,78482
CARLA,JAIR,92037
ELIANE,JULIO,53291
JULIA,TAIS,33464
BEATRIZ,CARLA,5763
BRUNO,RONALDO,78799
FERNANDA,JESSICA,77139
SABRINA,JESSICA,25713
SARA,CICERO,50353
ROSANA,ALAN,6065
FRANCISCA,JONAS,82496
RENATO,FRANCISCO,33058
RODRIGO,RAIMUNDA,35654
MONICA,THIAGO,76790
PRISCILA,FABRICIO,35880
LUAN,CAMILA,70891
ISABELA,REGINALDO,12182
DIOGO,THAIS,53440
HENRIQUE,EVERTON,90651
ANDERSON,RAIMUNDA,72091
ELIAS,MARCIA,85768
RENAN,RONALDO,96285
CARLA,LEANDRO,43569
CAMILA,APARECIDA,60792
SARA,VINICIUS,21391
BRUNO,CICERO,11417
RENATA,MANOEL,776
ALESSANDRO,TEREZA,54501
JULIA,RAIMUNDA,13203
ELIANA,VINICIUS,45164
TIAGO,SOLANGE,13122
VIVIANE,MAURICIO,30494
GABRIELA,LUIS,78335
RAIMUNDA,VITORIA,37457
JONAS,LUIZA,65519
ALEX,ELAINE,82702
CARLA,BEATRIZ,71623
ADRIANA,WILLIAN,97528
CLAUDIA,FRANCISCO,27820
NATALIA,WESLEY,14539
LUANA,ELIANA,41061
RAIMUNDA,CELIA,91813
CRISTIANE,ROSANGELA,80625
CARLOS,WILSON,27090
REGINA,JAIR,74436
DANIEL,BARBARA,93515
HENRIQUE,WILSON,85631
BENEDITO,MARINA,57734
CLAUDIO,FABIANA,93874
RENATA,TEREZINHA,66774
ROSANA,LUZIA,51127
ALICE,ELIANA,73864
BARBARA,BEATRIZ,9561
THAIS,ISABEL,75263
VITOR,FABIANA,1847
HENRIQUE,RONALDO,72198
ANGELA,CRISTIANE,58807
FABRICIO,ROSANA,74497
MARCOS,ALEX,64575
FLAVIA,ALESSANDRA,49664
ELAINE,ANTONIO,75076
EDUARDO,NATALIA,50978
VINICIUS,DEBORA,59807
SILVIA,CLAUDIA,54439
ANDREA,ROSANGELA,14495
LEANDRO,LUANA,75866
SOLANGE,LUCIANO,15985
FELIPE,FABIANO,72466
LARISSA,DAVI,48321
WILSON,GERALDO,16576
BENEDITO,MARLENE,27972
RAIMUNDA,CRISTIANE,80898
RONALDO,ANDREA,45710
MIGUEL,LUCIANA,36573
LUAN,RITA,85748
LARISSA,EDUARDO,61025
WESLEY,MONICA,20487
VERA,MARIO,69930
SILVIA,LUIS,766
ALESSANDRO,VANESSA,3302
LARISSA,RAIMUNDO,11372
EDNA,JULIANA,340
LEANDRO,WILLIAN,85566
REGINA,FERNANDA,17435
VALERIA,EDSON,73787
SILVANA,ALICE,35549
MARLI,GILSON,97749
PAULA,RITA,96079
PAULO,IGOR,93776
MARIANA,CLAUDIA,52293
MARLENE,WILLIAN,50832
LUANA,PRISCILA,58021
LUIS,JOAO,41881
VITORIA,CAMILA,32858
CARLOS,RAFAEL,67942
EMERSON,RONALDO,67835
RAFAELA,LUAN,76744
DANIELA,JULIA,95043
DANILO,VICTOR,14888
SIMONE,ROSANA,52587
PRISCILA,MARCOS,57072
ADILSON,EDSON,24968
THAIS,MANUEL,42552
GERALDO,FLAVIA,81136
FRANCISCA,SAMUEL,33674
MATEUS,ADRIANA,69945
ALICE,CARLOS,26271
VICTOR,ADRIANO,93963
GILSON,JANAINA,53343
THIAGO,ERICA,36882
THIAGO,ALEX,67326
GUSTAVO,CLAUDIO,29787
JORGE,VANESSA,46801
LUIZA,DAVI,51731
ADRIANO,EDSON,17894
JULIA,LUZIA,79861
JULIA,REGINALDO,83569
FABIANA,ROBERTO,61033
DANIELE,PRISCILA,48432
FABIANO,DAIANE,61274
ADILSON,FABIO,77929
GILSON,CAIO,88974
HENRIQUE,RAQUEL,347
PRISCILA,LUIS,18291
VINICIUS,SILVANA,86353
ANTONIO,FABIO,78786
LEONARDO,RENATA,7045
VITOR,ANGELA,41399
APARECIDA,CARLA,36178
VICTOR,RAFAELA,16563
FLAVIO,CAMILA,82232
LUCIA,FABRICIO,3600
LAURA,CELIA,68642
BRUNO,THAIS,97357
ISABELA,ALESSANDRA,69305
PAULO,ANDERSON,46928
JANAINA,PEDRO,18140
ANTONIO,DANIEL,5288
AMANDA,DENISE,29293
ROBERTO,OSVALDO,47887
FLAVIA,MARLI,10996
CRISTIANE,SEVERINO,85896
MARCOS,ISABEL,10891
JEAN,FABRICIO,24945
IGOR,HENRIQUE,75729
REGINA,ALEX,50031
GILBERTO,FABIO,34384
MARLI,LUIZ,23780
LUCIANA,ROSA,24989
MARCELO,ALINE,52607
RENAN,CARLOS,79114
TIAGO,JESSICA,37889
EDSON,CARLOS,33435
GILSON,ALESSANDRO,71911
LAURA,ANDERSON,59124
THIAGO,BRUNO,3052
ROSA,SERGIO,43897
DIOGO,CAIO,74683
ROSANA,ELIANA,86183
PRISCILA,ADRIANO,40843
JULIO,GILMAR,86710
HELENA,JOSE,15809
DENISE,LUIZ,40016
LUZIA,FLAVIO,3153
RONALDO,JAIR,41575
RAQUEL,LEANDRO,56994
JOAO,ALESSANDRO,15398
FERNANDA,VINICIUS,15185
MARCO,TATIANE,82387
LARISSA,VITORIA,44232
ADRIANA,CAIO,31098
MICHELE,LARISSA,55949
OSVALDO,EDUARDO,83164
LUIZA,DANILO,55952
JAQUELINE,ANDRE,49920
LAURA,SONIA,26061
ALEXANDRE,JULIO,74899
JOSE,RENATO,91216
ELAINE,ANTONIO,99769
LUCAS,TANIA,21615
MARCO,MIGUEL,66710
CRISTIANE,MAURICIO,26237
CICERO,LETICIA,85444
EMERSON,ERICA,91854
LUCIANO,ROSANA,15422
ALEXANDRE,DENISE,16609
ANDRE,DANIEL,84589
FABRICIO,ANDREIA,67863
AMANDA,BRUNO,8392
FERNANDA,ANTONIA,39943
ALEXANDRE,ALESSANDRA,41359
EDNA,ROSANA,1556
MARCO,CARLOS,21486
MANOEL,JANAINA,68751
CARLOS,VALERIA,23443
SARA,JAQUELINE,76347
EDUARDO,PATRICIA,30512
ANTONIA,ROBERTO,86793
ELAINE,JOSEFA,54178
RAFAEL,JORGE,65529
ISABELA,FERNANDA,55550
LUCIANO,VERA,14644
TATIANE,ANDREA,88476
GABRIELA,MICHELE,35989
DANILO,SONIA,30200
LUCIANA,RAQUEL,26836
CRISTIANO,MARTA,42755
VICTOR,ANA,94863
ALAN,CRISTINA,96044
VICTOR,RITA,65323
RENAN,TEREZA,17883
FELIPE,ANDRE,60292
DIOGO,FATIMA,71175
OSVALDO,RITA,75374
SILVIA,VALERIA,64744
JAIR,CAROLINE,29740
HENRIQUE,MICHELE,29037
RAQUEL,MONICA,86547
EDNA,CAMILA,73758
SILVIA,BARBARA,99961
SOLANGE,MARINA,14079
CRISTIANO,LUAN,77498
VIVIANE,ELAINE,35238
ROGERIO,SARA,2080
ELIANA,ANDREIA,9640
ADILSON,LUIZA,14990
ROGERIO,ANDRESSA,85417
SEBASTIAO,GILMAR,52399
LEONARDO,ANTONIA,79445
FRANCISCA,JULIO,75560
ADRIANO,TANIA,82641
ISABELA,ALICE,57879
LARISSA,HENRIQUE,54614
LETICIA,BARBARA,38472
SILVANA,SONIA,907
ADRIANO,CAROLINA,80079
ELIANA,TAIS,89194
EDNA,RAFAEL,57504
MAURICIO,SILVIA,1378
RITA,CARLA,77753
BRUNO,PAULA,481
EDUARDO,EVERTON,37564
TEREZA,ANDRESSA,14674
ROSA,SEBASTIAO,5844
SANDRA,CARLOS,79725
JAIR,MARIA,46870
APARECIDA,JAQUELINE,16235
VERA,LUCIANO,51780
ROGERIO,THIAGO,99694
NELSON,PATRICIA,15745
LUCAS,RENAN,65506
VITOR,EDNA,15436
LUANA,ANDERSON,18219
VANESSA,GUSTAVO,57952
CRISTINA,LAURA,49225
DEBORA,TATIANE,28379
MARIO,LETICIA,39080
VALERIA,ELIAS,10080
RENATO,RAQUEL,29306
DANIELE,ISABELA,12747
MARCIA,CAROLINE,76630
JAIR,DANIELE,5352
LUCAS,ANDREIA,23926
THAIS,DANIEL,52127
SUELI,FELIPE,81271
ANDRE,BRUNA,50141
ANDRESSA,REGINA,86790
RICARDO,CAIO,7159
ANDREA,OSVALDO,77426
CAIO,ANDRESSA,93587
RENAN,SOLANGE,7113
JOSE,CICERO,49014
GUSTAVO,LETICIA,9333
JOSE,MARIANA,9842
FLAVIO,TATIANE,10706
ANDERSON,SIMONE,79882
JOSE,SAMUEL,54636
ISABEL,ROBSON,39325
EMERSON,ALICE,73884
MARCO,VALDIR,83483
ROBSON,MARIO,30877
ALINE,REGINALDO,56348
SERGIO,FATIMA,41462
ALEX,DANIEL,26209
MARIO,CAROLINA,20238
SONIA,ISABELA,57054
FLAVIO,JAQUELINE,99926
PATRICIA,SERGIO,32751
LUANA,EDSON,68827
MARLI,LEANDRO,56297
SABRINA,MARTA,72966
CAIO,TATIANE,89455
DEBORA,ANTONIA,16857
FABIANO,MANUEL,57631
RITA,TANIA,87146
EDUARDO,MATEUS,14516
ERICA,FELIPE,69971
MATHEUS,FELIPE,27410
LUANA,ANDREIA,54131
RITA,LARISSA,70889
LUIS,EMERSON,58532
AMANDA,LARISSA,43934
LUCIANO,MARCIA,62343
ERICA,JULIO,31585
TAIS,MARCIA,87547
BENEDITO,SERGIO,76250
JOSEFA,VITOR,53947
FRANCISCO,MIGUEL,62607
CLAUDIA,SONIA,32736
MATHEUS,JULIO,78494
PEDRO,CRISTINA,18440
RODRIGO,LUIS,22042
MARINA,JOANA,44799
RAFAELA,ALAN,40805
CRISTINA,ALINE,63757
MIGUEL,APARECIDA,67239
CRISTIANE,JONAS,14255
THAIS,SEVERINO,22290
LAURA,LUCIA,32190
FABIANO,LEONARDO,26024
TEREZINHA,AMANDA,57026
MAURICIO,GILBERTO,9380
HENRIQUE,MARINA,12092
MARTA,TAIS,2623
LEONARDO,RENATA,87616
ALESSANDRO,GILBERTO,40559
FLAVIA,ALESSANDRO,60349
RAFAEL,JAQUELINE,61439
ELIANA,MANUEL,37332
EDUARDO,ANDERSON,25560
FELIPE,MARLENE,5912
MARLI,MAURO,30338
TAIS,ANDREA,62153
DIOGO,FRANCISCO,20582
ADRIANO,VALERIA,10703
MARINA,VANESSA,21135
ALICE,MARLENE,60903
MICHELE,RONALDO,34145
MARIA,ROGERIO,28987
CRISTIANE,LEONARDO,80942
IGOR,LUZIA,2442
RICARDO,GILBERTO,76336
JAQUELINE,CARLA,15664
JOSEFA,ADILSON,67690
JAIR,RAIMUNDO,21039
SABRINA,SEVERINO,14641
FABIANA,TANIA,23509
CARLOS,MARIO,74527
REGINALDO,GERALDO,70398
DAVID,JESSICA,25678
CLAUDIO,ROSA,61210
THIAGO,WILSON,88277
MANUEL,GUILHERME,50183
ROGERIO,ERICA,74416
LUIZA,SUELI,80635
ERICA,ROBSON,78606
MARCOS,ALESSANDRA,77496
CLAUDIO,MARINA,2181
ISABEL,DIOGO,33882
LETICIA,GILBERTO,67805
BEATRIZ,WILSON,18540
RAQUEL,FERNANDO,48292
EDSON,JOSE,88187
BENEDITO,LARISSA,51382
ALESSANDRO,CRISTIANO,68359
RAFAELA,MARINA,31662
ALESSANDRA,FERNANDA,53679
ROBERTO,JOSEFA,80376
JEFERSON,TAIS,74250
SILVANA,HELENA,50504
ALICE,JEFERSON,87108
ROSANA,SARA,60025
JOAO,SARA,48567
RENATO,LEONARDO,87197
ROBSON,JOAQUIM,69469
EDSON,RONALDO,54857
SARA,RAIMUNDA,84950
DAIANE,VANESSA,78513
FLAVIO,DOUGLAS,18645
MANUEL,JAQUELINE,79558
ROSANA,MANOEL,48195
SILVIA,TEREZINHA,84559
ANA,RENATO,92131
SIMONE,SOLANGE,7125
RAIMUNDA,GILSON,77585
GABRIELA,TANIA,21542
MANOEL,JAQUELINE,22318
GILBERTO,EDNA,58636
EDUARDO,JOSE,4531
CAIO,SILVANA,846
ANGELA,BIANCA,67955
PAULA,FLAVIO,49522
CLAUDIO,VALERIA,82781
BEATRIZ,LUZIA,69754
FLAVIO,ELIAS,91057
CELIA,MARLENE,19385
ADRIANO,ALAN,70914
TIAGO,ISABEL,5560
RENAN,MARIANA,34877
VANESSA,RODRIGO,10111
CAIO,MARTA,87764
CAMILA,ROBERTO,30934
